attack_name,source_level,resistance_score,resist_0,resist_25,resist_50,resist_75,misses,hits,analysis
Fireball,8,68,0,1,4,1,90,6,"Hits:  6.25%, [ 2.90%, 12.97%], 6 / 96 attacks; Misses: 93.75%, [87.03%, 97.10%], 90 / 96 attacks; 0% resist:  0.00%, [ 0.00%, 39.03%], 0 / 6 hits; 25% resist: 16.67%, [ 3.01%, 56.35%], 1 / 6 hits; 50% resist: 66.67%, [30.00%, 90.32%], 4 / 6 hits; 75% resist: 16.67%, [ 3.01%, 56.35%], 1 / 6 hits"
Fireball,14,66,0,3,3,2,32,8,"Hits: 20.00%, [10.50%, 34.76%], 8 / 40 attacks; Misses: 80.00%, [65.24%, 89.50%], 32 / 40 attacks; 0% resist:  0.00%, [ 0.00%, 32.44%], 0 / 8 hits; 25% resist: 37.50%, [13.68%, 69.43%], 3 / 8 hits; 50% resist: 37.50%, [13.68%, 69.43%], 3 / 8 hits; 75% resist: 25.00%, [ 7.15%, 59.07%], 2 / 8 hits"
Fireball,15,66,0,1,0,1,9,2,"Hits: 18.18%, [ 5.14%, 47.70%], 2 / 11 attacks; Misses: 81.82%, [52.30%, 94.86%], 9 / 11 attacks; 0% resist:  0.00%, [ 0.00%, 65.76%], 0 / 2 hits; 25% resist: 50.00%, [ 9.45%, 90.55%], 1 / 2 hits; 50% resist:  0.00%, [ 0.00%, 65.76%], 0 / 2 hits; 75% resist: 50.00%, [ 9.45%, 90.55%], 1 / 2 hits"
Fireball,17,0,4,0,0,0,37,4,"Hits:  9.76%, [ 3.86%, 22.55%], 4 / 41 attacks; Misses: 90.24%, [77.45%, 96.14%], 37 / 41 attacks; 0% resist: 100.00%, [51.01%, 100.00%], 4 / 4 hits; 25% resist:  0.00%, [ 0.00%, 48.99%], 0 / 4 hits; 50% resist:  0.00%, [ 0.00%, 48.99%], 0 / 4 hits; 75% resist:  0.00%, [ 0.00%, 48.99%], 0 / 4 hits"
Fireball,17,30,31,39,14,6,670,90,"Hits: 11.84%, [ 9.73%, 14.33%], 90 / 760 attacks; Misses: 88.16%, [85.67%, 90.27%], 670 / 760 attacks; 0% resist: 34.44%, [25.45%, 44.72%], 31 / 90 hits; 25% resist: 43.33%, [33.58%, 53.64%], 39 / 90 hits; 50% resist: 15.56%, [ 9.50%, 24.43%], 14 / 90 hits; 75% resist:  6.67%, [ 3.09%, 13.79%], 6 / 90 hits"
Fireball,17,63,2,30,62,28,1272,122,"Hits:  8.75%, [ 7.38%, 10.35%], 122 / 1394 attacks; Misses: 91.25%, [89.65%, 92.62%], 1272 / 1394 attacks; 0% resist:  1.64%, [ 0.45%,  5.78%], 2 / 122 hits; 25% resist: 24.59%, [17.80%, 32.93%], 30 / 122 hits; 50% resist: 50.82%, [42.06%, 59.53%], 62 / 122 hits; 75% resist: 22.95%, [16.38%, 31.17%], 28 / 122 hits"
Fireball,17,64,4,13,29,14,590,60,"Hits:  9.23%, [ 7.24%, 11.70%], 60 / 650 attacks; Misses: 90.77%, [88.30%, 92.76%], 590 / 650 attacks; 0% resist:  6.67%, [ 2.62%, 15.93%], 4 / 60 hits; 25% resist: 21.67%, [13.12%, 33.62%], 13 / 60 hits; 50% resist: 48.33%, [36.17%, 60.69%], 29 / 60 hits; 75% resist: 23.33%, [14.44%, 35.44%], 14 / 60 hits"
Fireball,17,66,0,13,31,20,474,64,"Hits: 11.90%, [ 9.43%, 14.91%], 64 / 538 attacks; Misses: 88.10%, [85.09%, 90.57%], 474 / 538 attacks; 0% resist:  0.00%, [ 0.00%,  5.66%], 0 / 64 hits; 25% resist: 20.31%, [12.27%, 31.71%], 13 / 64 hits; 50% resist: 48.44%, [36.63%, 60.42%], 31 / 64 hits; 75% resist: 31.25%, [21.23%, 43.39%], 20 / 64 hits"
Fireball,17,67,0,44,145,62,2384,251,"Hits:  9.53%, [ 8.46%, 10.71%], 251 / 2635 attacks; Misses: 90.47%, [89.29%, 91.54%], 2384 / 2635 attacks; 0% resist:  0.00%, [ 0.00%,  1.51%], 0 / 251 hits; 25% resist: 17.53%, [13.33%, 22.71%], 44 / 251 hits; 50% resist: 57.77%, [51.59%, 63.72%], 145 / 251 hits; 75% resist: 24.70%, [19.77%, 30.39%], 62 / 251 hits"
Fireball,17,68,0,63,178,89,2914,330,"Hits: 10.17%, [ 9.18%, 11.26%], 330 / 3244 attacks; Misses: 89.83%, [88.74%, 90.82%], 2914 / 3244 attacks; 0% resist:  0.00%, [ 0.00%,  1.15%], 0 / 330 hits; 25% resist: 19.09%, [15.22%, 23.68%], 63 / 330 hits; 50% resist: 53.94%, [48.55%, 59.24%], 178 / 330 hits; 75% resist: 26.97%, [22.47%, 32.00%], 89 / 330 hits"
Fireball,17,90,0,2,21,34,580,57,"Hits:  8.95%, [ 6.97%, 11.42%], 57 / 637 attacks; Misses: 91.05%, [88.58%, 93.03%], 580 / 637 attacks; 0% resist:  0.00%, [ 0.00%,  6.31%], 0 / 57 hits; 25% resist:  3.51%, [ 0.97%, 11.92%], 2 / 57 hits; 50% resist: 36.84%, [25.52%, 49.82%], 21 / 57 hits; 75% resist: 59.65%, [46.70%, 71.38%], 34 / 57 hits"
